Ensembl	symbol	median	min	max	range
ENSG00000000003	TSPAN6	1.246221410448998	0.15492049696133978	1.5077786568088638	1.352858159847524
ENSG00000000005	TNMD	0.10097713240172652	0.048843094351800245	0.7321900066966809	0.6833469123448807
ENSG00000000419	DPM1	1.9864452766113092	1.676089872902287	2.5503116407061523	0.8742217678038653
ENSG00000000457	SCYL3	2.3458042984648206	2.1443538202210553	2.6068898694290974	0.46253604920804214
ENSG00000000460	FIRRM	1.707353762399963	1.575872130127326	1.8687489543120281	0.2928768241847022
ENSG00000000938	FGR	5.909838498306288	4.964011678652912	6.589654064485165	1.6256423858322533
ENSG00000000971	CFH	1.5870997049473652	1.0776489400194995	2.1030755828880126	1.025426642868513
ENSG00000001036	FUCA2	2.4159036770706908	2.0150340150758863	2.8244369599802956	0.8094029449044093
ENSG00000001084	GCLC	2.1293173014655644	1.8432573248226107	2.8059562645910594	0.9626989397684487
ENSG00000001167	NFYA	2.5532858262069107	2.157323328578145	2.9097965831921075	0.7524732546139625
ENSG00000001460	STPG1	1.670351747162099	1.4732446403284492	1.8272722925523128	0.3540276522238637
ENSG00000001461	NIPAL3	2.52025998150785	2.1894619236774	3.057744405811445	0.8682824821340449
ENSG00000001497	LAS1L	2.350024969065653	2.0340663546119426	2.674590359081734	0.6405240044697913
ENSG00000001561	ENPP4	1.8219434643227206	1.4935190674621552	2.3648825048215527	0.8713634373593975
ENSG00000001617	SEMA3F	0.4978372367593742	0.048843094351800245	1.3691311240563595	1.3202880297045592
ENSG00000001626	CFTR	0.7395357107144338	0.06293545356224389	1.2066287628944827	1.1436933093322388
ENSG00000001629	ANKIB1	2.2833971163578948	1.9315226358631181	2.6088211243812562	0.6772984885181381
ENSG00000001630	CYP51A1	1.9077215284675324	1.6123979649847289	2.285884175475596	0.6734862104908672
ENSG00000001631	KRIT1	2.1494893998827247	1.8379293154264724	2.5369331962141475	0.6990038807876751
ENSG00000002016	RAD52	1.8450189363346146	1.5676907112267513	2.1170375858782204	0.5493468746514691
ENSG00000002330	BAD	2.3503495538456485	2.053194455235519	2.8666150123221175	0.8134205570865984
ENSG00000002549	LAP3	3.5176474850645927	2.5550618140458683	5.593496408272731	3.038434594226863
ENSG00000002586	CD99	4.282636591348882	3.2741373625273846	5.3417541571721445	2.06761679464476
ENSG00000002587	HS3ST1	1.4222039700589926	0.678386124318262	1.9268478496293084	1.2484617253110466
ENSG00000002726	AOC1	1.4987656511657856	0.7473517495116332	3.455045371749513	2.70769362223788
ENSG00000002745	WNT16	0.9737853608664218	0.0824488028403152	1.501679330923776	1.4192305280834607
ENSG00000002746	HECW1	0.5559416515586076	0.05855949219169307	1.704231847509535	1.645672355317842
ENSG00000002822	MAD1L1	2.78126377906755	2.2185961865813115	3.800848346053996	1.5822521594726844
ENSG00000002834	LASP1	5.606659336573179	4.922265084003553	6.012227439310821	1.089962355307268
ENSG00000002919	SNX11	3.1511305117884127	2.3711280346448285	3.7493289739220885	1.37820093927726
ENSG00000002933	TMEM176A	2.3042790019584154	1.0914987252911998	4.79712045565466	3.70562173036346
ENSG00000003056	M6PR	4.145944289380371	3.122534871347031	4.78985082021925	1.6673159488722193
ENSG00000003096	KLHL13	1.2461383265020725	0.1941298876466039	1.5680970224137398	1.3739671347671358
ENSG00000003137	CYP26B1	0.10963473525633026	0.048843094351800245	1.8721701430723923	1.823327048720592
ENSG00000003147	ICA1	1.6594363030829844	1.4660769084700052	2.0301438339740177	0.5640669255040125
ENSG00000003249	DBNDD1	1.7086361400964492	1.3456367699887533	2.384083127754384	1.0384463577656307
ENSG00000003393	ALS2	1.978730930441958	1.7675689226981062	2.320149877906876	0.5525809552087697
ENSG00000003400	CASP10	3.0362588345494514	2.68656396426912	3.7133740992555717	1.0268101349864516
ENSG00000003402	CFLAR	5.23809262097393	4.453566561904192	5.836450655230198	1.3828840933260063
ENSG00000003436	TFPI	1.6016045876900895	1.380080985344246	2.052253325903298	0.6721723405590521
ENSG00000003509	NDUFAF7	1.8958424221686372	1.7112226691495342	2.328265204941372	0.6170425357918377
ENSG00000003756	RBM5	4.401530171808301	3.5233698579435577	5.140750875986909	1.6173810180433517
ENSG00000003987	MTMR7	0.12785314231456646	0.048843094351800245	1.4375338259355788	1.3886907315837784
ENSG00000003989	SLC7A2	0.5792775913443741	0.048843094351800245	1.0768628295829445	1.0280197352311442
ENSG00000004059	ARF5	4.0949658240280735	3.5317048516578398	4.554243608860748	1.0225387572029083
ENSG00000004139	SARM1	2.477713493929549	2.0688934503992975	2.978364256216391	0.9094708058170933
ENSG00000004142	POLDIP2	3.04096234907189	2.674590359081734	3.347938468936504	0.67334810985477
ENSG00000004399	PLXND1	3.1462278514205626	1.732341268357031	3.7838061675046584	2.0514648991476276
ENSG00000004455	AK2	3.2969261464093127	2.8820829252492195	3.806726188723619	0.9246432634743993
ENSG00000004468	CD38	2.2916581993718745	1.8337227609448754	4.247814627800544	2.4140918668556686
ENSG00000004478	FKBP4	2.701146220499344	2.3602087110930112	3.4157250709081506	1.0555163598151394
ENSG00000004487	KDM1A	2.6677709999191372	2.234176899417746	2.99249304789966	0.7583161484819136
ENSG00000004534	RBM6	3.372545278809723	2.8826451045026356	4.161902212274254	1.2792571077716182
ENSG00000004660	CAMKK1	2.484738463884695	2.042419314046064	3.294898320506621	1.252479006460557
ENSG00000004700	RECQL	2.4286654494137356	2.0653485346813327	2.890722782315919	0.8253742476345862
ENSG00000004766	VPS50	2.023183797179614	1.7341335701953804	2.441567443401038	0.7074338732056578
ENSG00000004776	HSPB6	0.9126162720679696	0.05823855048671631	1.4920621069761255	1.4338235564894093
ENSG00000004777	ARHGAP33	1.9431996783343022	1.6436093557743918	2.4598424299055432	0.8162330741311514
ENSG00000004779	NDUFAB1	2.221833337139662	2.020226139107909	2.5167746336508627	0.4965484945429539
ENSG00000004799	PDK4	1.9111267077378764	1.2478685635960522	2.7668125504661805	1.5189439868701282
ENSG00000004809	SLC22A16	1.6312250145734377	1.1962073229176327	1.9999280497085985	0.8037207267909658
ENSG00000004838	ZMYND10	1.5327684266078987	1.238827255951294	1.7941908046949018	0.5553635487436077
ENSG00000004846	ABCB5	0.927136579322542	0.07133787908339483	1.4108041675088303	1.3394662884254356
ENSG00000004848	ARX	0.12783018041352642	0.048843094351800245	1.908203566714587	1.8593604723627866
ENSG00000004864	SLC25A13	1.9017738637009032	1.6859382821141289	2.1269429007876335	0.4410046186735046
ENSG00000004866	ST7	1.8421034677557433	1.6598581495387272	2.1866087795121336	0.5267506299734064
ENSG00000004897	CDC27	2.4769736788044976	2.1533026079319506	2.9545049745255962	0.8012023665936456
ENSG00000004939	SLC4A1	4.131074396652258	1.8032156343615289	6.977127964849303	5.173912330487774
ENSG00000004948	CALCR	0.11524797796857517	0.0492051123223227	0.9590623542192301	0.9098572418969074
