Ensembl	symbol	mean_TB	mean_Healthy	log2FoldChange	t_statistic	pvalue	padj	direction
ENSG00000163754	GYG1	3.5882491836060466	2.9491985093078545	0.6390506742981921	14.567089335827108	8.870482958641353e-27	1.656651397355859e-22	Higher in TB
ENSG00000108950	FAM20A	2.183043178753871	1.3225387885311446	0.8605043902227263	15.083327217494856	4.647094117182413e-26	4.339456486624937e-22	Higher in TB
ENSG00000119686	FLVCR2	2.4883086584177083	1.9558415565084135	0.5324671019092948	13.97877986670538	1.6550918519919482e-23	1.0303498475933875e-19	Higher in TB
ENSG00000108861	DUSP3	3.479530725428299	2.729860507410343	0.7496702180179562	15.288044760258753	2.93828061382934e-22	1.3718832185969189e-18	Higher in TB
ENSG00000138413	IDH1	2.819706850388188	2.528830727417266	0.2908761229709218	12.93530154948074	1.282370341093134e-21	3.991591415042562e-18	Not significant
ENSG00000173369	C1QB	2.591243444728738	1.681886775870245	0.9093566688584929	11.998409799209817	1.0790612840052815e-21	3.991591415042562e-18	Higher in TB
ENSG00000173372	C1QA	2.67190932213876	1.8224221122550675	0.8494872098836925	11.580330852498111	1.626099850332955e-20	4.3384344006883244e-17	Higher in TB
ENSG00000082014	SMARCD3	3.5036150325973026	2.6436613015320845	0.8599537310652181	14.728294215014682	2.458648619732379e-20	5.739715202765239e-17	Higher in TB
ENSG00000087237	CETP	1.605191630811899	1.3980664535871337	0.2071251772247653	11.457329628492102	3.614334175631832e-19	7.500145007122234e-16	Not significant
ENSG00000008394	MGST1	2.212265076110047	1.9169153894261524	0.2953496866838947	11.540402335684034	9.218501210011265e-19	1.5651338963470034e-15	Not significant
ENSG00000129636	ITFG1	2.570689185162788	2.3718023140642197	0.19888687109856829	12.863455256974548	8.643977147964588e-19	1.5651338963470034e-15	Not significant
ENSG00000143545	RAB13	1.7304969167944098	1.496841342221362	0.23365557457304775	11.710453392173399	2.5003765362944796e-18	3.891419349319642e-15	Not significant
ENSG00000137806	NDUFAF1	2.01908962911124	1.8926458775292037	0.12644375158203647	11.562726445337493	3.4328800120633667e-18	4.93172823886888e-15	Not significant
ENSG00000166278	C2	2.305045151336349	1.7098958471884553	0.5951493041478937	10.900836847201385	5.077725709200352e-18	6.7736860960732695e-15	Higher in TB
ENSG00000152518	ZFP36L2	4.630966270814361	5.188762538701679	-0.5577962678873183	-11.735868413649015	2.5471523999502422e-17	3.1713745480980484e-14	Lower in TB
ENSG00000135424	ITGA7	1.7444628028209903	1.511973074136691	0.2324897286842993	10.093499901547053	2.7645538387255846e-17	3.2269254682524386e-14	Not significant
ENSG00000166949	SMAD3	2.7086762104443753	3.0468075456049992	-0.3381313351606239	-13.055825727746251	4.1568081264494755e-17	4.5666205040923767e-14	Not significant
ENSG00000168894	RNF181	2.8556435837314207	2.572303716894101	0.2833398668373195	13.13980867280963	4.504176785027799e-17	4.6733336465099546e-14	Not significant
ENSG00000108788	MLX	3.440647787208437	3.293273918352722	0.1473738688557149	11.720732252529974	5.2104345478730605e-17	5.097983095269904e-14	Not significant
ENSG00000136861	CDK5RAP2	3.1937333794134637	2.623294528604938	0.5704388508085256	9.943699142902297	5.732364799778752e-17	5.097983095269904e-14	Higher in TB
ENSG00000158089	GALNT14	2.1761550119526825	1.6924061640938082	0.4837488478588743	10.6666197328632	5.67075452322239e-17	5.097983095269904e-14	Not significant
ENSG00000159189	C1QC	2.1150309279315005	1.3778730386544016	0.7371578892770989	10.460658265711226	7.039832254429485e-17	5.97617759926023e-14	Higher in TB
ENSG00000183019	MCEMP1	2.9371028528375906	2.167047582956805	0.7700552698807854	10.217097300227454	1.0781739105483162e-16	8.754772153652328e-14	Higher in TB
ENSG00000091106	NLRC4	3.100373133756714	2.582207914938411	0.5181652188183028	11.57116188594285	1.263412970952864e-16	9.499006610382685e-14	Higher in TB
ENSG00000179918	SEPHS2	3.2908725554612337	3.029463857585567	0.2614086978756669	11.57941206154614	1.2715526090146024e-16	9.499006610382685e-14	Not significant
ENSG00000148834	GSTO1	3.272371550125299	2.799274695834219	0.4730968542910796	11.664029647268398	2.404075070084709e-16	1.7268656157270007e-13	Not significant
ENSG00000105866	SP4	1.907035798647009	2.163698172082884	-0.25666237343587506	-13.26722133158774	2.8431768585733164e-16	1.9666359633598242e-13	Not significant
ENSG00000112053	SLC26A8	2.416445905384623	1.8330627503946642	0.5833831549899586	11.381237547423288	2.970736496355649e-16	1.9814812430692177e-13	Higher in TB
ENSG00000198216	CACNA1E	2.424947363259783	1.879638136725693	0.5453092265340902	11.626079049276234	3.159790813605706e-16	2.0349052839620748e-13	Higher in TB
ENSG00000183087	GAS6	2.299013909191791	1.8908734855210259	0.4081404236707653	10.998171588650901	4.550831363724393e-16	2.8330442182972256e-13	Not significant
ENSG00000233461	TSNAX-DT	2.1092201024384694	1.7171863560471887	0.39203374639128064	11.521051856988146	4.742120948119052e-16	2.856898413776497e-13	Not significant
ENSG00000164105	SAP30	1.8916143653880404	1.7378943075439859	0.15372005784405451	10.261705222888986	7.228362037027874e-16	4.044884421474052e-13	Not significant
ENSG00000158887	MPZ	2.046241820254592	1.8277524837756653	0.21848933647892665	10.018116207006827	7.083769982019923e-16	4.044884421474052e-13	Not significant
ENSG00000135404	CD63	4.520334103041965	4.094847460662584	0.42548664237938105	11.333160985242653	7.363786160319008e-16	4.044884421474052e-13	Not significant
ENSG00000182379	NXPH4	1.1216543197421174	1.4461147739033624	-0.324460454161245	-11.03642906313465	8.366911117515016e-16	4.2101786479760425e-13	Not significant
ENSG00000173744	AGFG1	3.270925457348076	2.9904134233303754	0.28051203401770053	10.017311855146545	8.297646578647311e-16	4.2101786479760425e-13	Not significant
ENSG00000117118	SDHB	3.1074057874520618	2.912574880426068	0.19483090702599393	12.36916278613958	7.903317552558346e-16	4.2101786479760425e-13	Not significant
ENSG00000127528	KLF2	5.222746334924243	5.8141589695547236	-0.5914126346304807	-12.78956163680009	8.56643760029394e-16	4.2101786479760425e-13	Lower in TB
ENSG00000177556	ATOX1	2.445444857127193	2.146791210928141	0.2986536461990519	11.208110133956957	1.1924559142387003e-15	5.710335039569735e-13	Not significant
ENSG00000197646	PDCD1LG2	1.9728381571012008	1.3993924764008607	0.5734456807003401	10.4634820584917	1.8931198859260836e-15	8.838976747388884e-13	Higher in TB
ENSG00000280832	GSEC	2.2908972024888565	1.9040456998978512	0.3868515025910053	9.679581595672333	2.358731031891706e-15	1.048849065514512e-12	Not significant
ENSG00000234289	H2BC12L	2.3767844557099878	1.966723327411264	0.41006112829872365	10.085048824471208	2.313581050432735e-15	1.048849065514512e-12	Not significant
ENSG00000277734	TRAC	4.489114040901389	5.305113032908205	-0.8159989920068158	-11.165264678583373	2.5993259835586946e-15	1.1077962143460305e-12	Lower in TB
ENSG00000091436	MAP3K20	2.2869936589768223	1.981386742875455	0.30560691610136725	10.01453196029243	2.6099289693309777e-15	1.1077962143460305e-12	Not significant
ENSG00000283155		1.7975289417107063	1.6207050139865256	0.17682392772418076	10.031517261617733	3.0437036970325177e-15	1.263204672128429e-12	Not significant
ENSG00000134809	TIMM10	2.324726954608367	1.8740049407835695	0.4507220138247976	9.4976823344467	4.574208619813682e-15	1.857128699644355e-12	Not significant
ENSG00000184678	H2BC21	3.3351106431728716	2.778262884844289	0.5568477583285825	10.157725347267425	4.776719019266199e-15	1.8980852000811813e-12	Higher in TB
ENSG00000189241	TSPYL1	2.9103294628152008	3.211805434653819	-0.3014759718386184	-12.700479887656414	5.827523241366239e-15	2.2673921678282473e-12	Not significant
ENSG00000023697	DERA	2.2070235051550395	2.066165075587177	0.14085842956786232	10.762086090425937	6.012030629028117e-15	2.2914425311781454e-12	Not significant
ENSG00000244045	VMA12	2.5611910539957234	2.368502705415479	0.19268834858024464	11.916167731625235	6.538584618747335e-15	2.427030191351029e-12	Not significant
ENSG00000132963	POMP	2.58881325237747	2.2930058925989427	0.29580735977852735	10.50576509873798	6.627679361688931e-15	2.427030191351029e-12	Not significant
ENSG00000139572	GPR84	1.9338819335129045	1.5701304031950645	0.36375153031784	10.043017800942343	7.220383028659513e-15	2.5932283354470202e-12	Not significant
ENSG00000104626	ERI1	2.2475828221822156	1.9997227202311545	0.24786010195106112	9.97439523202166	8.336072648476463e-15	2.9374432600555928e-12	Not significant
ENSG00000131475	VPS25	2.550433980871945	2.3937303577477826	0.1567036231241623	10.621466044129813	9.01488487017628e-15	3.1178146265817077e-12	Not significant
ENSG00000118508	RAB32	3.0279292246906393	2.614882610724515	0.4130466139661242	11.192211975125412	9.406937289242534e-15	3.194253832979883e-12	Not significant
ENSG00000170439	TMT1B	1.5796384974907245	0.8752385228410559	0.7043999746496686	11.375076987269649	9.815436786672962e-15	3.273448168355433e-12	Higher in TB
